customerNo,employeeSubGroup,materialGroup2,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
EDIDELAWAR,1,Z02,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,10,Z02,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,11,Z02,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,12,Z02,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,13,Z02,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,2,Z01,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,3,Z02,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,4,Z01,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,5,Z02,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,6,Z02,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,7,Z01,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,8,Z02,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES
EDIDELAWAR,9,Z01,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71132,ESDFES